latitude,longitude,median_income,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR BAY,total_rooms,median_house_value
37.81,-122.29,1.75,0.0,0.0,1.0,844.0,75000.0
37.81,-122.29,0.4999,0.0,0.0,1.0,12.0,67500.0
37.81,-122.29,2.483,0.0,0.0,1.0,835.0,137500.0
37.81,-122.28,0.9241,0.0,0.0,1.0,1237.0,177500.0
37.81,-122.28,2.4464,0.0,0.0,1.0,2914.0,102100.0
37.81,-122.28,1.1111,0.0,0.0,1.0,1207.0,108300.0
37.81,-122.29,0.8026,0.0,0.0,1.0,1745.0,112500.0
37.8,-122.28,2.0114,0.0,0.0,1.0,684.0,131300.0
37.81,-122.28,1.5,0.0,0.0,1.0,924.0,162500.0
37.81,-122.27,1.1667,0.0,0.0,1.0,210.0,112500.0
37.81,-122.28,1.5208,0.0,0.0,1.0,340.0,112500.0
37.81,-122.28,0.8075,0.0,0.0,1.0,386.0,137500.0
37.81,-122.28,1.8088,0.0,0.0,1.0,948.0,118800.0
37.81,-122.28,2.4083,0.0,0.0,1.0,773.0,98200.0
37.81,-122.27,0.977,0.0,0.0,1.0,880.0,118800.0
37.81,-122.27,0.76,0.0,0.0,1.0,875.0,162500.0
37.8,-122.27,0.9722,0.0,0.0,1.0,105.0,137500.0
37.8,-122.27,1.2434,0.0,0.0,1.0,249.0,500001.0
37.8,-122.27,2.0938,0.0,0.0,1.0,994.0,162500.0
37.8,-122.28,0.8668,0.0,0.0,1.0,215.0,137500.0
37.8,-122.28,0.75,0.0,0.0,1.0,96.0,162500.0
37.79,-122.27,2.6354,0.0,0.0,1.0,1055.0,187500.0
37.8,-122.27,1.8477,0.0,0.0,1.0,1715.0,179200.0
37.81,-122.26,2.0062,0.0,0.0,1.0,335.0,125000.0
37.82,-122.26,2.6104,0.0,0.0,1.0,3633.0,193100.0
37.81,-122.25,3.125,0.0,0.0,1.0,854.0,237500.0
37.81,-122.25,2.5795,0.0,0.0,1.0,2155.0,350000.0
37.82,-122.24,4.9306,0.0,0.0,1.0,1509.0,313400.0
37.81,-122.24,3.2727,0.0,0.0,1.0,2026.0,268500.0
37.81,-122.25,3.1691,0.0,0.0,1.0,1758.0,259400.0
37.82,-122.24,3.9,0.0,0.0,1.0,3481.0,275700.0
37.82,-122.25,3.9063,0.0,0.0,1.0,3337.0,225000.0
37.82,-122.25,5.0917,0.0,0.0,1.0,1424.0,262500.0
37.82,-122.25,2.6429,0.0,0.0,1.0,3809.0,218500.0
37.83,-122.25,3.1484,0.0,0.0,1.0,2376.0,224100.0
37.83,-122.25,3.4722,0.0,0.0,1.0,1613.0,243100.0
37.83,-122.25,3.1429,0.0,0.0,1.0,1279.0,231600.0
37.83,-122.25,3.0897,0.0,0.0,1.0,4190.0,234100.0
37.84,-122.23,5.8596,0.0,0.0,1.0,2515.0,327600.0
37.84,-122.23,5.2868,0.0,0.0,1.0,3175.0,347600.0
37.83,-122.24,5.956,0.0,0.0,1.0,2576.0,366100.0
37.85,-122.24,4.9643,0.0,0.0,1.0,334.0,335000.0
37.85,-122.23,6.3434,0.0,0.0,1.0,2800.0,373600.0
37.84,-122.24,5.1773,0.0,0.0,1.0,3529.0,389500.0
37.85,-122.24,7.2354,0.0,0.0,1.0,2612.0,391100.0
37.85,-122.22,5.457,0.0,0.0,1.0,5287.0,337300.0
37.84,-122.22,7.5,0.0,0.0,1.0,2935.0,295200.0
37.84,-122.21,6.0194,0.0,0.0,1.0,3424.0,292300.0
37.83,-122.21,7.5544,0.0,0.0,1.0,4991.0,411500.0
37.84,-122.2,6.0666,0.0,0.0,1.0,2211.0,311500.0
37.84,-122.21,7.0548,0.0,0.0,1.0,3038.0,325900.0
37.84,-122.19,11.6017,0.0,0.0,1.0,1617.0,392600.0
37.84,-122.2,7.4882,0.0,0.0,1.0,2865.0,319300.0
37.83,-122.21,6.8976,0.0,0.0,1.0,5065.0,333300.0
37.83,-122.19,8.2049,0.0,0.0,1.0,1326.0,335200.0
37.83,-122.2,8.401,0.0,0.0,1.0,1589.0,351200.0
37.83,-122.19,6.8538,0.0,0.0,1.0,1791.0,368900.0
37.82,-122.19,8.317,0.0,0.0,1.0,1835.0,365900.0
37.82,-122.2,7.0175,0.0,0.0,1.0,1229.0,366700.0
37.82,-122.2,6.3302,0.0,0.0,1.0,3770.0,362800.0
37.81,-122.18,6.3624,0.0,0.0,1.0,292.0,483300.0
37.82,-122.21,7.0549,0.0,0.0,1.0,2375.0,331400.0
37.81,-122.2,6.7851,0.0,0.0,1.0,2964.0,323500.0
37.8,-122.21,2.8929,0.0,0.0,1.0,2833.0,216700.0
37.8,-122.21,3.0812,0.0,0.0,1.0,2254.0,233100.0
37.81,-122.21,5.2402,0.0,0.0,1.0,1389.0,296400.0
37.81,-122.22,6.5217,0.0,0.0,1.0,1971.0,273700.0
37.8,-122.22,3.2632,0.0,0.0,1.0,2183.0,227700.0
37.8,-122.22,3.0298,0.0,0.0,1.0,2286.0,199600.0
37.8,-122.22,4.5428,0.0,0.0,1.0,2721.0,239800.0
37.81,-122.22,4.072,0.0,0.0,1.0,2024.0,270100.0
37.81,-122.22,5.3509,0.0,0.0,1.0,2944.0,302100.0
37.8,-122.23,3.1603,0.0,0.0,1.0,2033.0,269500.0
37.81,-122.23,4.7708,0.0,0.0,1.0,1433.0,314700.0
37.81,-122.22,8.1564,0.0,0.0,1.0,2927.0,390100.0
37.81,-122.23,8.8793,0.0,0.0,1.0,2315.0,410300.0
37.81,-122.24,6.8591,0.0,0.0,1.0,2485.0,352400.0
37.81,-122.24,6.0302,0.0,0.0,1.0,1490.0,287300.0
37.81,-122.23,7.508,0.0,0.0,1.0,2814.0,348700.0
37.81,-122.24,2.7477,0.0,0.0,1.0,2093.0,243800.0
37.8,-122.24,2.1944,0.0,0.0,1.0,888.0,211500.0
37.8,-122.25,3.0149,0.0,0.0,1.0,2087.0,218400.0
37.81,-122.24,3.675,0.0,0.0,1.0,2513.0,269900.0
37.81,-122.25,3.225,0.0,0.0,1.0,3232.0,218800.0
37.8,-122.25,2.9345,0.0,0.0,1.0,4120.0,225000.0
37.8,-122.25,2.1429,0.0,0.0,1.0,2364.0,250000.0
37.8,-122.25,1.6121,0.0,0.0,1.0,1471.0,171400.0
37.8,-122.25,1.3929,0.0,0.0,1.0,2468.0,193800.0
37.79,-122.24,2.3173,0.0,0.0,1.0,1632.0,125000.0
37.79,-122.25,1.7772,0.0,0.0,1.0,1786.0,97500.0
37.79,-122.25,2.6458,0.0,0.0,1.0,629.0,125000.0
37.79,-122.25,2.181,0.0,0.0,1.0,1339.0,138800.0
37.8,-122.25,2.2303,0.0,0.0,1.0,1678.0,116700.0
37.8,-122.25,1.6504,0.0,0.0,1.0,2344.0,151800.0
37.8,-122.24,2.2697,0.0,0.0,1.0,996.0,127000.0
37.8,-122.24,2.1563,0.0,0.0,1.0,1591.0,128600.0
37.8,-122.24,2.1348,0.0,0.0,1.0,1586.0,140600.0
37.8,-122.24,2.6292,0.0,0.0,1.0,2046.0,182700.0
37.8,-122.23,2.3833,0.0,0.0,1.0,1192.0,146900.0
37.8,-122.24,2.957,0.0,0.0,1.0,1803.0,122800.0
37.8,-122.24,2.5238,0.0,0.0,1.0,2838.0,169300.0
37.8,-122.23,1.9375,0.0,0.0,1.0,783.0,126600.0
37.8,-122.23,1.9028,0.0,0.0,1.0,1590.0,127900.0
37.8,-122.23,2.25,0.0,0.0,1.0,1746.0,123500.0
37.8,-122.23,2.3929,0.0,0.0,1.0,1252.0,111900.0
37.79,-122.23,2.9357,0.0,0.0,1.0,1783.0,107900.0
37.79,-122.23,1.8854,0.0,0.0,1.0,999.0,137500.0
37.79,-122.24,2.1638,0.0,0.0,1.0,1469.0,105500.0
37.79,-122.24,2.125,0.0,0.0,1.0,1372.0,95500.0
37.79,-122.24,3.375,0.0,0.0,1.0,674.0,116100.0
37.79,-122.24,2.2542,0.0,0.0,1.0,1626.0,112200.0
37.79,-122.25,2.1,0.0,0.0,1.0,175.0,75000.0
37.79,-122.25,1.6,0.0,0.0,1.0,461.0,112500.0
37.79,-122.25,3.625,0.0,0.0,1.0,902.0,125000.0
37.8,-122.26,1.6929,0.0,0.0,1.0,2373.0,115000.0
37.77,-122.22,1.6471,0.0,0.0,1.0,391.0,95000.0
37.77,-122.22,2.59,0.0,0.0,1.0,1137.0,96400.0
37.77,-122.23,2.57,0.0,0.0,1.0,769.0,72000.0
37.78,-122.23,2.6429,0.0,0.0,1.0,472.0,71300.0
37.78,-122.23,3.0257,0.0,0.0,1.0,862.0,80800.0
37.78,-122.22,1.4886,0.0,0.0,1.0,1920.0,128800.0
37.78,-122.23,1.9338,0.0,0.0,1.0,1420.0,112500.0
37.78,-122.23,1.4844,0.0,0.0,1.0,986.0,119400.0
37.78,-122.23,1.6009,0.0,0.0,1.0,2340.0,118100.0
37.79,-122.23,2.0375,0.0,0.0,1.0,1696.0,122500.0
37.79,-122.23,2.293,0.0,0.0,1.0,1175.0,106300.0
37.79,-122.22,2.1494,0.0,0.0,1.0,2343.0,132500.0
37.79,-122.23,1.6198,0.0,0.0,1.0,610.0,122700.0
37.79,-122.23,1.3281,0.0,0.0,1.0,930.0,113300.0
37.79,-122.22,3.5156,0.0,0.0,1.0,1487.0,109500.0
37.79,-122.22,3.9048,0.0,0.0,1.0,3424.0,164700.0
37.79,-122.21,3.0893,0.0,0.0,1.0,762.0,125000.0
37.79,-122.22,2.6042,0.0,0.0,1.0,2366.0,124700.0
37.79,-122.22,2.5,0.0,0.0,1.0,1826.0,136700.0
37.79,-122.22,2.7969,0.0,0.0,1.0,3049.0,141700.0
37.79,-122.2,2.8321,0.0,0.0,1.0,1640.0,150000.0
37.79,-122.21,2.9583,0.0,0.0,1.0,1543.0,138800.0
37.79,-122.21,2.8365,0.0,0.0,1.0,2364.0,139200.0
37.79,-122.21,2.875,0.0,0.0,1.0,1745.0,143800.0
37.8,-122.21,3.0682,0.0,0.0,1.0,2003.0,156500.0
37.8,-122.21,3.0757,0.0,0.0,1.0,2018.0,151000.0
37.8,-122.2,4.9559,0.0,0.0,1.0,3045.0,273000.0
37.8,-122.2,4.7721,0.0,0.0,1.0,1547.0,217100.0
37.8,-122.21,3.4861,0.0,0.0,1.0,3519.0,187100.0
37.8,-122.2,5.1184,0.0,0.0,1.0,2070.0,239600.0
37.8,-122.21,4.0977,0.0,0.0,1.0,1321.0,229700.0
37.8,-122.19,4.744,0.0,0.0,1.0,1694.0,257300.0
37.8,-122.19,4.2727,0.0,0.0,1.0,1938.0,246900.0
37.79,-122.19,2.9844,0.0,0.0,1.0,968.0,179900.0
37.79,-122.2,4.1739,0.0,0.0,1.0,1060.0,169600.0
37.8,-122.2,3.8487,0.0,0.0,1.0,2041.0,203300.0
37.8,-122.19,4.0114,0.0,0.0,1.0,1813.0,263400.0
37.79,-122.19,4.6563,0.0,0.0,1.0,2718.0,231800.0
37.79,-122.19,2.9297,0.0,0.0,1.0,3144.0,140500.0
37.79,-122.2,2.3036,0.0,0.0,1.0,1802.0,126000.0
37.79,-122.2,2.6667,0.0,0.0,1.0,882.0,122000.0
37.79,-122.2,2.619,0.0,0.0,1.0,1621.0,134700.0
37.79,-122.21,2.4167,0.0,0.0,1.0,2115.0,139400.0
37.79,-122.2,2.7788,0.0,0.0,1.0,2021.0,115400.0
37.78,-122.21,2.7352,0.0,0.0,1.0,2239.0,137300.0
37.78,-122.21,1.8472,0.0,0.0,1.0,1477.0,137000.0
37.78,-122.21,2.6583,0.0,0.0,1.0,1056.0,142600.0
37.78,-122.21,3.0536,0.0,0.0,1.0,898.0,137500.0
37.78,-122.22,2.3906,0.0,0.0,1.0,2968.0,111700.0
37.78,-122.21,1.7188,0.0,0.0,1.0,1702.0,126800.0
37.78,-122.21,2.625,0.0,0.0,1.0,881.0,111300.0
37.77,-122.22,2.8015,0.0,0.0,1.0,494.0,114800.0
37.78,-122.22,1.7276,0.0,0.0,1.0,1776.0,102300.0
37.78,-122.22,2.0801,0.0,0.0,1.0,1678.0,131900.0
37.78,-122.22,2.489,0.0,0.0,1.0,1637.0,119100.0
37.76,-122.21,1.7546,0.0,0.0,1.0,1420.0,80600.0
37.77,-122.21,4.0904,0.0,0.0,1.0,591.0,80600.0
37.77,-122.21,2.6765,0.0,0.0,1.0,745.0,88800.0
37.77,-122.2,2.4338,0.0,0.0,1.0,2272.0,102400.0
37.77,-122.21,2.3309,0.0,0.0,1.0,1234.0,98700.0
37.77,-122.21,2.2604,0.0,0.0,1.0,1017.0,100000.0
37.77,-122.19,1.8039,0.0,0.0,1.0,932.0,92300.0
37.77,-122.2,2.2562,0.0,0.0,1.0,2689.0,94800.0
37.77,-122.2,2.0562,0.0,0.0,1.0,1547.0,102000.0
37.78,-122.2,3.5398,0.0,0.0,1.0,2300.0,158400.0
37.78,-122.2,3.1167,0.0,0.0,1.0,1752.0,121600.0
37.78,-122.2,2.5401,0.0,0.0,1.0,1867.0,129100.0
37.77,-122.2,2.898,0.0,0.0,1.0,2430.0,121400.0
37.78,-122.21,2.3125,0.0,0.0,1.0,1729.0,102800.0
37.78,-122.19,2.875,0.0,0.0,1.0,1026.0,160000.0
37.77,-122.19,3.3715,0.0,0.0,1.0,2170.0,143900.0
37.77,-122.19,3.5114,0.0,0.0,1.0,2329.0,151200.0
37.78,-122.19,4.3125,0.0,0.0,1.0,2492.0,164400.0
37.78,-122.19,3.22,0.0,0.0,1.0,2198.0,156500.0
37.78,-122.18,3.875,0.0,0.0,1.0,142.0,225000.0
37.78,-122.19,5.2328,0.0,0.0,1.0,1183.0,174200.0
37.78,-122.19,3.7262,0.0,0.0,1.0,1070.0,166900.0
37.78,-122.2,4.5893,0.0,0.0,1.0,1766.0,163500.0
37.79,-122.18,5.2578,0.0,0.0,1.0,617.0,253000.0
37.79,-122.18,7.0875,0.0,0.0,1.0,1411.0,240700.0
37.79,-122.18,3.9712,0.0,0.0,1.0,2109.0,208100.0
37.79,-122.19,2.9514,0.0,0.0,1.0,1229.0,198100.0
37.79,-122.19,2.6667,0.0,0.0,1.0,954.0,172800.0
37.81,-122.18,5.4446,0.0,0.0,1.0,1643.0,336700.0
37.8,-122.18,6.2838,0.0,0.0,1.0,1355.0,318200.0
37.8,-122.18,6.7527,0.0,0.0,1.0,2317.0,285800.0
37.77,-122.13,7.0712,0.0,0.0,1.0,2459.0,293000.0
37.78,-122.17,3.6875,0.0,0.0,1.0,1524.0,157300.0
37.77,-122.17,2.875,0.0,0.0,1.0,3326.0,135300.0
37.78,-122.18,3.4205,0.0,0.0,1.0,1985.0,136700.0
37.78,-122.18,3.2984,0.0,0.0,1.0,1642.0,160700.0
37.78,-122.17,3.875,0.0,0.0,1.0,893.0,140600.0
37.78,-122.17,4.175,0.0,0.0,1.0,653.0,144000.0
37.77,-122.16,4.375,0.0,0.0,1.0,1256.0,161900.0
37.77,-122.16,4.7708,0.0,0.0,1.0,977.0,156300.0
37.77,-122.16,3.5739,0.0,0.0,1.0,2324.0,176000.0
37.77,-122.16,3.0958,0.0,0.0,1.0,1583.0,145800.0
37.77,-122.17,3.3958,0.0,0.0,1.0,1612.0,141900.0
37.77,-122.17,1.871,0.0,0.0,1.0,2424.0,90700.0
37.76,-122.17,1.9356,0.0,0.0,1.0,1594.0,90600.0
37.76,-122.17,2.1842,0.0,0.0,1.0,2118.0,107900.0
37.76,-122.18,2.2917,0.0,0.0,1.0,1575.0,107000.0
37.76,-122.17,2.4333,0.0,0.0,1.0,1764.0,98200.0
37.76,-122.18,1.9479,0.0,0.0,1.0,1187.0,89500.0
37.76,-122.18,3.9063,0.0,0.0,1.0,754.0,93800.0
37.76,-122.18,1.8407,0.0,0.0,1.0,2308.0,96700.0
37.77,-122.18,2.0786,0.0,0.0,1.0,909.0,97500.0
37.77,-122.18,2.8125,0.0,0.0,1.0,1180.0,97300.0
37.76,-122.18,1.8913,0.0,0.0,1.0,2018.0,91200.0
37.76,-122.19,1.7056,0.0,0.0,1.0,1368.0,91400.0
37.77,-122.18,2.2768,0.0,0.0,1.0,2744.0,96200.0
37.77,-122.18,3.2552,0.0,0.0,1.0,2107.0,120100.0
37.77,-122.18,2.0556,0.0,0.0,1.0,1748.0,100000.0
37.76,-122.19,2.4659,0.0,0.0,1.0,2024.0,94700.0
37.76,-122.2,1.75,0.0,0.0,1.0,1116.0,85700.0
37.77,-122.19,2.0469,0.0,0.0,1.0,2036.0,89300.0
37.77,-122.19,2.7159,0.0,0.0,1.0,1852.0,101400.0
37.76,-122.19,1.2083,0.0,0.0,1.0,921.0,72500.0
37.76,-122.19,1.925,0.0,0.0,1.0,995.0,74100.0
37.75,-122.2,1.5809,0.0,0.0,1.0,606.0,70000.0
37.76,-122.2,1.4097,0.0,0.0,1.0,2680.0,84600.0
37.76,-122.19,0.7683,0.0,0.0,1.0,1493.0,81800.0
37.75,-122.19,1.3194,0.0,0.0,1.0,2207.0,81400.0
37.75,-122.19,0.8012,0.0,0.0,1.0,856.0,81800.0
37.76,-122.19,1.9479,0.0,0.0,1.0,1293.0,85800.0
37.74,-122.19,1.1765,0.0,0.0,1.0,847.0,87100.0
37.74,-122.18,2.3456,0.0,0.0,1.0,541.0,83500.0
37.73,-122.19,2.1538,0.0,0.0,1.0,1066.0,79700.0
37.74,-122.19,2.5139,0.0,0.0,1.0,707.0,83400.0
37.73,-122.19,1.2625,0.0,0.0,1.0,1528.0,84700.0
37.73,-122.18,2.9063,0.0,0.0,1.0,909.0,80000.0
37.73,-122.18,2.5192,0.0,0.0,1.0,1391.0,76400.0
37.73,-122.18,2.1111,0.0,0.0,1.0,548.0,79700.0
37.73,-122.18,2.455,0.0,0.0,1.0,4074.0,82400.0
37.74,-122.17,2.4028,0.0,0.0,1.0,1613.0,97700.0
37.74,-122.17,2.15,0.0,0.0,1.0,463.0,97200.0
37.74,-122.17,2.4776,0.0,0.0,1.0,818.0,101600.0
37.73,-122.17,2.1587,0.0,0.0,1.0,1473.0,86500.0
37.74,-122.18,1.8438,0.0,0.0,1.0,504.0,90500.0
37.74,-122.17,3.0298,0.0,0.0,1.0,1026.0,107600.0
37.74,-122.17,2.25,0.0,0.0,1.0,769.0,84200.0
37.74,-122.18,2.2467,0.0,0.0,1.0,2103.0,88900.0
37.75,-122.18,4.0469,0.0,0.0,1.0,330.0,80700.0
37.75,-122.18,1.325,0.0,0.0,1.0,941.0,87100.0
37.75,-122.17,1.6196,0.0,0.0,1.0,992.0,85100.0
37.75,-122.18,2.1731,0.0,0.0,1.0,990.0,82000.0
37.75,-122.19,1.9167,0.0,0.0,1.0,1126.0,82800.0
37.75,-122.18,2.069,0.0,0.0,1.0,1036.0,84600.0
37.75,-122.18,1.712,0.0,0.0,1.0,1047.0,82100.0
37.76,-122.17,2.5625,0.0,0.0,1.0,1280.0,89300.0
37.75,-122.17,1.9821,0.0,0.0,1.0,1587.0,98300.0
37.75,-122.17,2.5043,0.0,0.0,1.0,1257.0,92300.0
37.75,-122.17,2.3281,0.0,0.0,1.0,1218.0,88800.0
37.75,-122.17,1.4375,0.0,0.0,1.0,1751.0,90000.0
37.76,-122.16,2.5122,0.0,0.0,1.0,2299.0,95500.0
37.75,-122.16,1.5625,0.0,0.0,1.0,2457.0,91700.0
37.75,-122.17,3.1587,0.0,0.0,1.0,998.0,100400.0
37.76,-122.17,1.8426,0.0,0.0,1.0,1685.0,94800.0
37.76,-122.16,4.6696,0.0,0.0,1.0,1827.0,164300.0
37.76,-122.16,2.4598,0.0,0.0,1.0,2781.0,155500.0
37.76,-122.15,6.0749,0.0,0.0,1.0,1823.0,196900.0
37.77,-122.14,4.8304,0.0,0.0,1.0,2229.0,279100.0
37.76,-122.14,5.5701,0.0,0.0,1.0,1513.0,252800.0
37.76,-122.13,5.37,0.0,0.0,1.0,3266.0,275400.0
37.75,-122.12,6.86,0.0,0.0,1.0,1809.0,250000.0
37.75,-122.12,7.6923,0.0,0.0,1.0,794.0,329800.0
37.75,-122.14,4.0313,0.0,0.0,1.0,690.0,195500.0
37.75,-122.14,6.8323,0.0,0.0,1.0,1334.0,255900.0
37.75,-122.13,4.975,0.0,0.0,1.0,414.0,311100.0
37.75,-122.13,5.3602,0.0,0.0,1.0,768.0,330000.0
37.74,-122.13,5.0,0.0,0.0,1.0,4400.0,248900.0
37.75,-122.16,2.925,0.0,0.0,1.0,954.0,142900.0
37.75,-122.15,3.8913,0.0,0.0,1.0,1445.0,126300.0
37.75,-122.15,3.225,0.0,0.0,1.0,1938.0,135800.0
37.74,-122.15,3.1458,0.0,0.0,1.0,856.0,130600.0
37.75,-122.16,2.537,0.0,0.0,1.0,1790.0,107900.0
37.75,-122.16,2.5568,0.0,0.0,1.0,617.0,111100.0
37.74,-122.15,3.5083,0.0,0.0,1.0,1383.0,122000.0
37.74,-122.15,3.3125,0.0,0.0,1.0,1325.0,118000.0
37.75,-122.16,1.8235,0.0,0.0,1.0,1227.0,95200.0
37.75,-122.16,3.8047,0.0,0.0,1.0,667.0,94300.0
37.74,-122.17,2.2917,0.0,0.0,1.0,1223.0,92500.0
37.75,-122.17,2.4962,0.0,0.0,1.0,1379.0,91800.0
37.74,-122.16,4.0417,0.0,0.0,1.0,1534.0,109400.0
37.74,-122.16,3.4844,0.0,0.0,1.0,1029.0,129500.0
37.74,-122.16,4.1458,0.0,0.0,1.0,771.0,143400.0
37.74,-122.16,2.625,0.0,0.0,1.0,824.0,98200.0
37.74,-122.16,2.0227,0.0,0.0,1.0,1097.0,103100.0
37.9,-122.29,3.3333,0.0,0.0,1.0,1283.0,276800.0
37.9,-122.29,5.338,0.0,0.0,1.0,1604.0,270900.0
37.89,-122.29,3.4732,0.0,0.0,1.0,2248.0,246200.0
37.9,-122.3,3.5125,0.0,0.0,1.0,2263.0,224200.0
37.89,-122.29,3.1375,0.0,0.0,1.0,1571.0,229100.0
37.89,-122.3,2.8036,0.0,0.0,1.0,1520.0,211600.0
37.89,-122.3,3.0208,0.0,0.0,1.0,1077.0,206300.0
37.89,-122.3,4.0875,0.0,0.0,1.0,1248.0,221300.0
37.89,-122.33,4.5268,0.0,0.0,1.0,1342.0,207400.0
37.88,-122.34,1.7375,0.0,0.0,1.0,3061.0,350000.0
37.89,-122.29,3.1795,0.0,0.0,1.0,3171.0,218200.0
37.88,-122.29,3.8672,0.0,0.0,1.0,1211.0,216700.0
37.89,-122.29,5.1675,0.0,0.0,1.0,979.0,270600.0
37.89,-122.29,5.1696,0.0,0.0,1.0,2269.0,261400.0
37.88,-122.28,4.2614,0.0,0.0,1.0,1844.0,261300.0
